tsne_1,tsne_2,label,name,type
13.051609,2.695764,4,CC(C(F)(F)F)C(F)(F)F,main
11.375776,1.1718891,4,CCOC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,main
11.446653,1.5162704,4,COC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,main
6.578146,-2.9990203,6,FC(F)(F)C(F)(OC1CCO1)C(F)(F)F,main
5.0819907,-2.2083883,6,FC(F)(F)C(OC1CCO1)(C(F)(F)F)C(F)(F)F,main
14.982829,6.2296157,2,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
14.585229,6.4846287,2,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
15.667911,5.7059927,2,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
15.976966,5.482575,2,C[Si](C)(C)O[Si](C)(C)C,main
5.3091264,1.1303209,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,main
4.818595,1.238594,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,main
4.456465,1.4044701,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,main
-23.07181,4.1821365,0,FC(F)(F)c1ccc(C(F)(F)F)c(C(F)(F)F)c1,main
-19.874657,3.2742083,0,FC(F)(F)C(F)(F)C(F)(F)c1ccc2ccccc2c1,main
9.794117,2.6828215,4,CC(C)(C)C(F)(F)F,main
14.942016,1.6526669,2,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,main
14.809245,0.65920967,2,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
14.634558,-0.350418,2,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
13.7892685,-0.06898235,2,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
-22.90903,6.0240273,0,FC(F)(F)C(c1ccccc1)(C(F)(F)F)C(F)(F)F,main
-22.92858,5.8347025,0,FC(F)(F)C(F)(c1ccccc1)C(F)(F)F,main
-21.657743,2.8749697,0,FC(F)(F)C(F)(F)C(F)(F)c1ccccc1,main
0.53968847,-5.58707,3,FC(F)(F)C(C1CC1)C(F)(F)F,main
0.25759664,-6.934409,3,FC(F)(F)C(F)(F)C(F)(F)C1CCCC1,main
-0.18194558,-5.988326,3,FC(F)(F)C1CCCC1,main
1.1504595,-6.021512,3,FC(F)(F)C(C1CCCCC1)(C(F)(F)F)C(F)(F)F,main
0.7426426,-6.2737265,3,FC(F)(F)C(F)(C1CCCCC1)C(F)(F)F,main
0.17138256,-6.6605396,3,FC(F)(F)C(F)(F)C1CCCCC1,main
16.120977,2.7288647,2,FC(F)C(F)(F)OCC(F)(F)F,main
15.853616,3.6412706,2,CCOC(F)(F)C(F)F,main
7.1907744,-4.5571523,6,FC(F)(F)C(F)(F)C(F)(F)OC1CCOCC1,main
7.7730002,-4.8813934,6,CC1CC(OC(F)(F)C(F)(F)C(F)(F)F)O1,main
7.2986727,-4.3554063,6,FC(F)(F)C(F)(F)C(F)(F)OC1CCOC1,main
7.6349554,-5.3645086,6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC1COCO1,main
13.145741,1.213448,4,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
14.231361,1.4111263,4,COC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
6.7519927,-5.039407,6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC1CCO1,main
7.1995435,-3.0999455,6,FC(F)(F)C(F)(F)OC1CCO1,main
13.351791,0.6521193,4,FC(F)(F)C(CC(C(F)(F)F)C(F)(F)F)C(F)(F)F,main
11.446414,0.013930272,4,COC(C(F)(F)F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,main
12.79481,2.063366,4,COC(F)(F)C(F)(F)C(F)(F)F,main
8.138107,-4.541025,6,FC(F)(F)C(F)(F)OC1COCO1,main
8.010161,-4.3356137,6,CC1CC(OC(F)(F)C(F)(F)F)O1,main
16.829464,4.2741103,2,CC(C)(C)OCC(F)(F)F,main
